"player","player_fuzzy_cricketdata","team","merge_team","season","player_fuzzy_ipl_contracts"
"A Badoni","A  Badoni","Lucknow Super Giants","lucknow super giants","2022","A  Badoni"
"A Badoni","A  Badoni","Lucknow Super Giants","lucknow super giants","2023","A  Badoni"
"Abdul Basith","A  Basith","Rajasthan Royals","rajasthan royals","2023","A  Basith"
"AR Bawne","A  Bawne","Delhi Daredevils","delhi daredevils","2017","A  Bawne"
"AT Carey","A  Carey","Delhi Capitals","delhi capitals","2020","A  Carey"
"A Choudhary","A  Choudhary","Royal Challengers Bangalore","royal challengers bangalore","2017","A  Choudhary"
"A Dananjaya","A  Dananjaya","Mumbai Indians","mumbai indians","2018","A  Dananlaya"
"Akash Deep","A  Deep","Royal Challengers Bangalore","royal challengers bangalore","2022","A  Deep"
"Akash Deep","A  Deep","Royal Challengers Bangalore","royal challengers bangalore","2023","A  Deep"
"AB Dinda","A  Dinda","Rising Pune Supergiants","rising pune supergiants","2017","A  Dinda"
"AJ Finch","A  Finch","Gujarat Lions","gujarat lions","2017","A  Finch"
"AJ Finch","A  Finch","Punjab Kings","punjab kings","2018","A  Finch"
"AJ Finch","A  Finch","Royal Challengers Bangalore","royal challengers bangalore","2020","A  Finch"
"AJ Hosein","A  Hosein","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Hosein"
"AS Joseph","A  Joseph","Gujarat Titans","gujarat titans","2022","A  Joseph"
"AS Joseph","A  Joseph","Gujarat Titans","gujarat titans","2023","A  Joseph"
"Avesh Khan","A  Khan","Royal Challengers Bangalore","royal challengers bangalore","2017","A  Khan"
"Avesh Khan","A  Khan","Delhi Daredevils","delhi daredevils","2018","A  Khan"
"Avesh Khan","A  Khan","Delhi Capitals","delhi capitals","2019","A  Khan"
"Avesh Khan","A  Khan","Delhi Capitals","delhi capitals","2020","A  Khan"
"Avesh Khan","A  Khan","Delhi Capitals","delhi capitals","2021","A  Khan"
"Aman Hakim Khan","A  Khan","Kolkata Knight Riders","kolkata knight riders","2022","A  Khan"
"Avesh Khan","A  Khan","Lucknow Super Giants","lucknow super giants","2022","A  Khan"
"Aman Hakim Khan","A  Khan","Delhi Capitals","delhi capitals","2023","A  Khan"
"Avesh Khan","A  Khan","Lucknow Super Giants","lucknow super giants","2023","A  Khan"
"Arshad Khan ","A  Khan ","Mumbai Indians","mumbai indians","2023","A  Khan"
"Akash Madhwal","A  Madhwal","Mumbai Indians","mumbai indians","2023","A  Madhwal"
"A Manohar","A  Manohar","Gujarat Titans","gujarat titans","2022","A  Manohar"
"A Manohar","A  Manohar","Gujarat Titans","gujarat titans","2023","A  Manohar"
"AK Markram","A  Markram","Sunrisers Hyderabad","sunrisers hyderabad","2022","A  Markram"
"AK Markram","A  Markram","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Markram"
"AD Mathews","A  Mathews","Delhi Daredevils","delhi daredevils","2017","A  Mathews"
"AF Milne","A  Milne","Royal Challengers Bangalore","royal challengers bangalore","2017","A  Milne"
"AF Milne","A  Milne","Mumbai Indians","mumbai indians","2021","A  Milne"
"AF Milne","A  Milne","Chennai Super Kings","chennai super kings","2022","A  Milne"
"A Mishra","A  Mishra","Delhi Daredevils","delhi daredevils","2017","A  Mishra"
"A Mishra","A  Mishra","Delhi Daredevils","delhi daredevils","2018","A  Mishra"
"A Mishra","A  Mishra","Delhi Capitals","delhi capitals","2019","A  Mishra"
"A Mishra","A  Mishra","Delhi Capitals","delhi capitals","2020","A  Mishra"
"A Mishra","A  Mishra","Delhi Capitals","delhi capitals","2021","A  Mishra"
"A Mishra","A  Mishra","Lucknow Super Giants","lucknow super giants","2023","A  Mishra"
"AD Nath","A  Nath","Gujarat Lions","gujarat lions","2017","A  Nath"
"AD Nath","A  Nath","Punjab Kings","punjab kings","2018","A  Nath"
"AD Nath","A  Nath","Royal Challengers Bangalore","royal challengers bangalore","2019","A  Nath"
"A Nehra","A  Nehra","Sunrisers Hyderabad","sunrisers hyderabad","2017","A  Nehra"
"A Nortje","A  Nortje","Delhi Capitals","delhi capitals","2021","A  Nortje"
"A Nortje","A  Nortje","Delhi Capitals","delhi capitals","2022","A  Nortje"
"A Nortje","A  Nortje","Delhi Capitals","delhi capitals","2023","A  Nortje"
"AR Patel","A  Patel","Punjab Kings","punjab kings","2017","A  Patel"
"AR Patel","A  Patel","Punjab Kings","punjab kings","2018","A  Patel"
"AR Patel","A  Patel","Delhi Capitals","delhi capitals","2019","A  Patel"
"AR Patel","A  Patel","Delhi Capitals","delhi capitals","2020","A  Patel"
"AR Patel","A  Patel","Delhi Capitals","delhi capitals","2021","A  Patel"
"AR Patel","A  Patel","Delhi Capitals","delhi capitals","2022","A  Patel"
"AR Patel","A  Patel","Delhi Capitals","delhi capitals","2023","A  Patel"
"AM Rahane","A  Rahane","Rising Pune Supergiants","rising pune supergiants","2017","A  Rahane"
"AM Rahane","A  Rahane","Rajasthan Royals","rajasthan royals","2018","A  Rahane"
"AM Rahane","A  Rahane","Rajasthan Royals","rajasthan royals","2019","A  Rahane"
"AM Rahane","A  Rahane","Delhi Capitals","delhi capitals","2020","A  Rahane"
"AM Rahane","A  Rahane","Delhi Capitals","delhi capitals","2021","A  Rahane"
"AM Rahane","A  Rahane","Kolkata Knight Riders","kolkata knight riders","2022","A  Rahane"
"AM Rahane","A  Rahane","Chennai Super Kings","chennai super kings","2023","A  Rahane"
"AS Rajpoot","A  Rajpoot","Kolkata Knight Riders","kolkata knight riders","2017","A  Rajpoot"
"AS Rajpoot","A  Rajpoot","Punjab Kings","punjab kings","2018","A  Rajpoot"
"AS Rajpoot","A  Rajpoot","Punjab Kings","punjab kings","2019","A  Rajpoot"
"AS Rajpoot","A  Rajpoot","Rajasthan Royals","rajasthan royals","2020","A  Rajpoot"
"AU Rashid","A  Rashid","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Rashid"
"Anuj Rawat","A  Rawat","Rajasthan Royals","rajasthan royals","2021","A  Rawat"
"Anuj Rawat","A  Rawat","Royal Challengers Bangalore","royal challengers bangalore","2022","A  Rawat"
"Anuj Rawat","A  Rawat","Royal Challengers Bangalore","royal challengers bangalore","2023","A  Rawat"
"AT Rayudu","A  Rayudu","Mumbai Indians","mumbai indians","2017","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2018","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2019","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2020","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2021","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2022","A  Rayudu"
"AT Rayudu","A  Rayudu","Chennai Super Kings","chennai super kings","2023","A  Rayudu"
"AS Roy","A  Roy","Mumbai Indians","mumbai indians","2019","A  Roy"
"AS Roy","A  Roy","Kolkata Knight Riders","kolkata knight riders","2022","A  Roy"
"AS Roy","A  Roy","Kolkata Knight Riders","kolkata knight riders","2023","A  Roy"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2018","A  Russell"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2019","A  Russell"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2020","A  Russell"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2021","A  Russell"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2022","A  Russell"
"AD Russell","A  Russell","Kolkata Knight Riders","kolkata knight riders","2023","A  Russell"
"Abdul Samad","A  Samad","Sunrisers Hyderabad","sunrisers hyderabad","2020","A  Samad"
"Abdul Samad","A  Samad","Sunrisers Hyderabad","sunrisers hyderabad","2021","A  Samad"
"Abdul Samad","A  Samad","Sunrisers Hyderabad","sunrisers hyderabad","2022","A  Samad"
"Abdul Samad","A  Samad","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Samad"
"Ankit Sharma","A  Sharma","Rising Pune Supergiants","rising pune supergiants","2017","A  Sharma"
"Abhishek Sharma","A  Sharma","Delhi Daredevils","delhi daredevils","2018","A  Sharma"
"Ankit Sharma","A  Sharma","Rajasthan Royals","rajasthan royals","2018","A  Sharma"
"Abhishek Sharma","A  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2019","A  Sharma"
"Abhishek Sharma","A  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2020","A  Sharma"
"Abhishek Sharma","A  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2021","A  Sharma"
"Abhishek Sharma","A  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2022","A  Sharma"
"Abhishek Sharma","A  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Sharma"
"Anureet Singh","A  Singh","Punjab Kings","punjab kings","2017","A  Singh"
"Anureet Singh","A  Singh","Rajasthan Royals","rajasthan royals","2018","A  Singh"
"Arshdeep Singh","A  Singh","Punjab Kings","punjab kings","2019","A  Singh"
"Arshdeep Singh","A  Singh","Punjab Kings","punjab kings","2020","A  Singh"
"Anmolpreet Singh","A  Singh","Mumbai Indians","mumbai indians","2021","A  Singh"
"Arshdeep Singh","A  Singh","Punjab Kings","punjab kings","2021","A  Singh"
"Akash Singh","A  Singh","Rajasthan Royals","rajasthan royals","2021","A  Singh"
"Anmolpreet Singh","A  Singh","Mumbai Indians","mumbai indians","2022","A  Singh"
"Arshdeep Singh","A  Singh","Punjab Kings","punjab kings","2022","A  Singh"
"Arshdeep Singh","A  Singh","Punjab Kings","punjab kings","2023","A  Singh"
"Anmolpreet Singh","A  Singh","Sunrisers Hyderabad","sunrisers hyderabad","2023","A  Singh"
"Atharva Taide","A  Taide","Punjab Kings","punjab kings","2023","A  Taide"
"AP Tare","A  Tare","Delhi Daredevils","delhi daredevils","2017","A  Tare"
"Arjun Tendulkar","A  Tendulkar","Mumbai Indians","mumbai indians","2023","A  Tendulkar"
"A Tomar","A  Tomar","Kolkata Knight Riders","kolkata knight riders","2022","A  Tomar"
"AJ Turner","A  Turner","Rajasthan Royals","rajasthan royals","2019","A  Turner"
"AJ Tye","A  Tye","Gujarat Lions","gujarat lions","2017","A  Tye"
"AJ Tye","A  Tye","Punjab Kings","punjab kings","2018","A  Tye"
"AJ Tye","A  Tye","Punjab Kings","punjab kings","2019","A  Tye"
"AJ Tye","A  Tye","Rajasthan Royals","rajasthan royals","2020","A  Tye"
"AB de Villiers","A  Villiers","Royal Challengers Bangalore","royal challengers bangalore","2017","A  Villiers"
"AB de Villiers","A  Villiers","Royal Challengers Bangalore","royal challengers bangalore","2018","A  Villiers"
"AB de Villiers","A  Villiers","Royal Challengers Bangalore","royal challengers bangalore","2019","A  Villiers"
"AB de Villiers","A  Villiers","Royal Challengers Bangalore","royal challengers bangalore","2020","A  Villiers"
"AB de Villiers","A  Villiers","Royal Challengers Bangalore","royal challengers bangalore","2021","A  Villiers"
"A Zampa","A  Zampa","Rising Pune Supergiants","rising pune supergiants","2017","A  Zampa"
"A Zampa","A  Zampa","Rajasthan Royals","rajasthan royals","2023","A  Zampa"
"BCJ Cutting","B  Cutting","Sunrisers Hyderabad","sunrisers hyderabad","2017","B  Cutting"
"BCJ Cutting","B  Cutting","Mumbai Indians","mumbai indians","2018","B  Cutting"
"BCJ Cutting","B  Cutting","Mumbai Indians","mumbai indians","2019","B  Cutting"
"B Indrajith","B  Indrajith","Kolkata Knight Riders","kolkata knight riders","2022","B  Indrajith"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2017","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2018","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2019","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2020","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2021","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2022","B  Kumar"
"B Kumar","B  Kumar","Sunrisers Hyderabad","sunrisers hyderabad","2023","B  Kumar"
"B Laughlin","B  Laughlin","Rajasthan Royals","rajasthan royals","2018","B  Laughlin"
"BB McCullum","B  McCullum","Gujarat Lions","gujarat lions","2017","B  McCullum"
"BB McCullum","B  McCullum","Royal Challengers Bangalore","royal challengers bangalore","2018","B  McCullum"
"PBB Rajapaksa","P  Rajapaksa","Punjab Kings","punjab kings","2022","B  Rajapaksa"
"PBB Rajapaksa","P  Rajapaksa","Punjab Kings","punjab kings","2023","B  Rajapaksa"
"Bipul Sharma","B  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2017","B  Sharma"
"BB Sran","B  Sran","Sunrisers Hyderabad","sunrisers hyderabad","2017","B  Sran"
"BB Sran","B  Sran","Punjab Kings","punjab kings","2018","B  Sran"
"BB Sran","B  Sran","Mumbai Indians","mumbai indians","2019","B  Sran"
"B Stanlake","B  Stanlake","Royal Challengers Bangalore","royal challengers bangalore","2017","B  Stanlake"
"B Stanlake","B  Stanlake","Sunrisers Hyderabad","sunrisers hyderabad","2018","B  Stanlake"
"BA Stokes","B  Stokes","Rising Pune Supergiants","rising pune supergiants","2017","B  Stokes"
"BA Stokes","B  Stokes","Rajasthan Royals","rajasthan royals","2018","B  Stokes"
"BA Stokes","B  Stokes","Rajasthan Royals","rajasthan royals","2019","B  Stokes"
"BA Stokes","B  Stokes","Rajasthan Royals","rajasthan royals","2020","B  Stokes"
"BA Stokes","B  Stokes","Rajasthan Royals","rajasthan royals","2021","B  Stokes"
"BA Stokes","B  Stokes","Chennai Super Kings","chennai super kings","2023","B  Stokes"
"Basil Thampi","B  Thampi","Gujarat Lions","gujarat lions","2017","B  Thampi"
"Basil Thampi","B  Thampi","Sunrisers Hyderabad","sunrisers hyderabad","2018","B  Thampi"
"Basil Thampi","B  Thampi","Sunrisers Hyderabad","sunrisers hyderabad","2019","B  Thampi"
"Basil Thampi","B  Thampi","Sunrisers Hyderabad","sunrisers hyderabad","2020","B  Thampi"
"Basil Thampi","B  Thampi","Mumbai Indians","mumbai indians","2022","B  Thampi"
"CJ Anderson","C  Anderson","Delhi Daredevils","delhi daredevils","2017","C  Anderson"
"CR Brathwaite","C  Brathwaite","Delhi Daredevils","delhi daredevils","2017","C  Brathwaite"
"CR Brathwaite","C  Brathwaite","Sunrisers Hyderabad","sunrisers hyderabad","2018","C  Brathwaite"
"CR Brathwaite","C  Brathwaite","Kolkata Knight Riders","kolkata knight riders","2019","C  Brathwaite"
"CH Gayle","C  Gayle","Royal Challengers Bangalore","royal challengers bangalore","2017","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2018","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2019","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2020","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2021","C  Gayle"
"C de Grandhomme","C  Grandhomme","Royal Challengers Bangalore","royal challengers bangalore","2018","C  Grandhomme"
"C de Grandhomme","C  Grandhomme","Royal Challengers Bangalore","royal challengers bangalore","2019","C  Grandhomme"
"CJ Green","C  Green","Kolkata Knight Riders","kolkata knight riders","2020","C  Green"
"C Green","C  Green","Mumbai Indians","mumbai indians","2023","C  Green"
"CA Ingram","C  Ingram","Delhi Capitals","delhi capitals","2019","C  Ingram"
"CJ Jordan","C  Jordan","Sunrisers Hyderabad","sunrisers hyderabad","2017","C  Jordan"
"CJ Jordan","C  Jordan","Sunrisers Hyderabad","sunrisers hyderabad","2018","C  Jordan"
"CJ Jordan","C  Jordan","Punjab Kings","punjab kings","2020","C  Jordan"
"CJ Jordan","C  Jordan","Punjab Kings","punjab kings","2021","C  Jordan"
"CJ Jordan","C  Jordan","Chennai Super Kings","chennai super kings","2022","C  Jordan"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2017","C  Lynn"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2018","C  Lynn"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2019","C  Lynn"
"CA Lynn","C  Lynn","Mumbai Indians","mumbai indians","2021","C  Lynn"
"CH Morris","C  Morris","Delhi Daredevils","delhi daredevils","2017","C  Morris"
"CH Morris","C  Morris","Delhi Daredevils","delhi daredevils","2018","C  Morris"
"CH Morris","C  Morris","Delhi Capitals","delhi capitals","2019","C  Morris"
"CH Morris","C  Morris","Royal Challengers Bangalore","royal challengers bangalore","2020","C  Morris"
"CH Morris","C  Morris","Rajasthan Royals","rajasthan royals","2021","C  Morris"
"C Munro","C  Munro","Delhi Daredevils","delhi daredevils","2018","C  Munro"
"C Munro","C  Munro","Delhi Capitals","delhi capitals","2019","C  Munro"
"C Sakariya","C  Sakariya","Rajasthan Royals","rajasthan royals","2021","C  Sakariya"
"C Sakariya","C  Sakariya","Delhi Capitals","delhi capitals","2022","C  Sakariya"
"C Sakariya","C  Sakariya","Delhi Capitals","delhi capitals","2023","C  Sakariya"
"CV Varun","C  Varun","Punjab Kings","punjab kings","2019","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2020","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2021","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2022","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2023","C  Varun"
"CR Woakes","C  Woakes","Kolkata Knight Riders","kolkata knight riders","2017","C  Woakes"
"CR Woakes","C  Woakes","Royal Challengers Bangalore","royal challengers bangalore","2018","C  Woakes"
"CR Woakes","C  Woakes","Delhi Capitals","delhi capitals","2021","C  Woakes"
"DM Bravo","D  Bravo","Kolkata Knight Riders","kolkata knight riders","2017","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2018","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2019","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2020","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2021","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2022","D  Bravo"
"D Brevis","D  Brevis","Mumbai Indians","mumbai indians","2022","D  Brevis"
"DL Chahar","D  Chahar","Rising Pune Supergiants","rising pune supergiants","2017","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2018","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2019","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2020","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2021","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2023","D  Chahar"
"PVD Chameera","P  Chameera","Lucknow Super Giants","lucknow super giants","2022","D  Chameera"
"DT Christian","D  Christian","Rising Pune Supergiants","rising pune supergiants","2017","D  Christian"
"DT Christian","D  Christian","Delhi Daredevils","delhi daredevils","2018","D  Christian"
"DT Christian","D  Christian","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Christian"
"DP Conway","D  Conway","Chennai Super Kings","chennai super kings","2022","D  Conway"
"DP Conway","D  Conway","Chennai Super Kings","chennai super kings","2023","D  Conway"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2017","D  Hooda"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2018","D  Hooda"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2019","D  Hooda"
"DJ Hooda","D  Hooda","Punjab Kings","punjab kings","2020","D  Hooda"
"DJ Hooda","D  Hooda","Punjab Kings","punjab kings","2021","D  Hooda"
"DJ Hooda","D  Hooda","Lucknow Super Giants","lucknow super giants","2022","D  Hooda"
"DJ Hooda","D  Hooda","Lucknow Super Giants","lucknow super giants","2023","D  Hooda"
"Duan Jansen","D  Jansen","Mumbai Indians","mumbai indians","2023","D  Jansen"
"Dhruv Jurel","D  Jurel","Rajasthan Royals","rajasthan royals","2023","D  Jurel"
"KD Karthik","K  Karthik","Gujarat Lions","gujarat lions","2017","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2018","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2019","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2020","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2021","D  Karthik"
"KD Karthik","K  Karthik","Royal Challengers Bangalore","royal challengers bangalore","2022","D  Karthik"
"KD Karthik","K  Karthik","Royal Challengers Bangalore","royal challengers bangalore","2023","D  Karthik"
"DS Kulkarni","D  Kulkarni","Gujarat Lions","gujarat lions","2017","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Rajasthan Royals","rajasthan royals","2018","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Rajasthan Royals","rajasthan royals","2019","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Mumbai Indians","mumbai indians","2020","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Mumbai Indians","mumbai indians","2021","D  Kulkarni"
"DJ Malan","D  Malan","Punjab Kings","punjab kings","2021","D  Malan"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2017","D  Miller"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2018","D  Miller"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2019","D  Miller"
"DA Miller","D  Miller","Rajasthan Royals","rajasthan royals","2021","D  Miller"
"DA Miller","D  Miller","Gujarat Titans","gujarat titans","2022","D  Miller"
"DA Miller","D  Miller","Gujarat Titans","gujarat titans","2023","D  Miller"
"DJ Mitchell","D  Mitchell","Rajasthan Royals","rajasthan royals","2022","D  Mitchell"
"DG Nalkande","D  Nalkande","Gujarat Titans","gujarat titans","2022","D  Nalkande"
"DG Nalkande","D  Nalkande","Gujarat Titans","gujarat titans","2023","D  Nalkande"
"D Padikkal","D  Padikkal","Royal Challengers Bangalore","royal challengers bangalore","2020","D  Padikkal"
"D Padikkal","D  Padikkal","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Padikkal"
"D Padikkal","D  Padikkal","Rajasthan Royals","rajasthan royals","2022","D  Padikkal"
"D Padikkal","D  Padikkal","Rajasthan Royals","rajasthan royals","2023","D  Padikkal"
"D Pretorius","D  Pretorius","Chennai Super Kings","chennai super kings","2022","D  Pretorius"
"D Pretorius","D  Pretorius","Chennai Super Kings","chennai super kings","2023","D  Pretorius"
"DR Sams","D  Sams","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Sams"
"DR Sams","D  Sams","Mumbai Indians","mumbai indians","2022","D  Sams"
"DR Shorey","D  Shorey","Chennai Super Kings","chennai super kings","2018","D  Shorey"
"DR Shorey","D  Shorey","Chennai Super Kings","chennai super kings","2019","D  Shorey"
"DJM Short","D  Short","Rajasthan Royals","rajasthan royals","2018","D  Short"
"DR Smith","D  Smith","Gujarat Lions","gujarat lions","2017","D  Smith"
"DW Steyn","D  Steyn","Royal Challengers Bangalore","royal challengers bangalore","2020","D  Steyn"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2017","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2019","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2020","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2021","D  Warner"
"DA Warner","D  Warner","Delhi Capitals","delhi capitals","2022","D  Warner"
"DA Warner","D  Warner","Delhi Capitals","delhi capitals","2023","D  Warner"
"D Wiese","D  Wiese","Kolkata Knight Riders","kolkata knight riders","2023","D  Wiese"
"DJ Willey","D  Willey","Royal Challengers Bangalore","royal challengers bangalore","2022","D  Willey"
"DJ Willey","D  Willey","Royal Challengers Bangalore","royal challengers bangalore","2023","D  Willey"
"E Lewis","E  Lewis","Mumbai Indians","mumbai indians","2018","E  Lewis"
"E Lewis","E  Lewis","Mumbai Indians","mumbai indians","2019","E  Lewis"
"E Lewis","E  Lewis","Lucknow Super Giants","lucknow super giants","2022","E  Lewis"
"EJG Morgan","E  Morgan","Punjab Kings","punjab kings","2017","E  Morgan"
"EJG Morgan","E  Morgan","Kolkata Knight Riders","kolkata knight riders","2020","E  Morgan"
"EJG Morgan","E  Morgan","Kolkata Knight Riders","kolkata knight riders","2021","E  Morgan"
"FA Allen","F  Allen","Punjab Kings","punjab kings","2021","F  Allen"
"FA Allen","F  Allen","Mumbai Indians","mumbai indians","2022","F  Allen"
